
144.30069708824158['note_off', 89, 100, 144.28908998750262, 'accompaniment', 80]
144.74268007278442['note_on', 86, 101.84, 144.7426793336861, 'accompaniment', 82]
144.74368000030518['note_off', 88, 100, 144.74367933368612, 'accompaniment', 81]
144.8177409172058['note_off', 88, 100, 144.80966495643617, 'accompaniment', 81]
145.23797297477722['note_on', 98, 108.8, 145.23797262910438, 'accompaniment', 83]
145.23897290229797['note_off', 86, 100, 145.23897262910438, 'accompaniment', 82]
146.85150694847107['note_on', 95, 75.92, 146.8489445518283, 'accompaniment', 84]
146.85156202316284['note_off', 98, 100, 146.84994455182832, 'accompaniment', 83]
147.07655692100525['note_on', 91, 72.56, 147.06190305788934, 'accompaniment', 85]
147.08914709091187['note_off', 95, 100, 147.06290305788934, 'accompaniment', 84]
147.17682194709778['note_off', 95, 100, 147.15608095298768, 'accompaniment', 84]
148.75751996040344['note_on', 93, 63.8, 148.74592473187076, 'accompaniment', 86]
148.75757312774658['note_off', 91, 100, 148.74692473187076, 'accompaniment', 85]
150.55104207992554['note_on', 93, 86.96, 150.54796515467618, 'accompaniment', 87]
150.96337604522705['note_on', 95, 97.75999999999999, 150.95618843171167, 'accompaniment', 88]
150.98232913017273['note_off', 93, 100, 150.95718843171167, 'accompaniment', 87]
151.35925793647766['note_on', 96, 106.16, 151.32911697042806, 'accompaniment', 89]
151.35930585861206['note_off', 95, 100, 151.33011697042807, 'accompaniment', 88]
151.69675374031067['note_on', 100, 111.68, 151.69675352331888, 'accompaniment', 90]
151.69775414466858['note_off', 96, 100, 151.69775352331888, 'accompaniment', 89]
151.80110478401184['note_off', 96, 100, 151.79510997901917, 'accompaniment', 89]
153.75585794448853['note_on', 96, 105.44, 153.755857801088, 'accompaniment', 91]
153.75685811042786['note_off', 100, 100, 153.75685780108802, 'accompaniment', 90]
154.05896186828613['note_on', 91, 104.48, 154.05392055766484, 'accompaniment', 92]
154.0590341091156['note_off', 96, 100, 154.05492055766484, 'accompaniment', 91]
154.13327193260193['note_off', 96, 100, 154.1260330594635, 'accompaniment', 91]
154.43116784095764['note_on', 88, 102.8, 154.42813453923623, 'accompaniment', 93]
154.44350004196167['note_off', 91, 100, 154.42913453923623, 'accompaniment', 92]
154.78634095191956['note_on', 86, 99.2, 154.78634074794877, 'accompaniment', 94]
154.7978458404541['note_off', 88, 100, 154.78734074794878, 'accompaniment', 93]
156.60421800613403['note_on', 93, 78.8, 156.5989062092115, 'accompaniment', 95]
156.61611104011536['note_off', 86, 100, 156.5999062092115, 'accompaniment', 94]
156.93787097930908['note_on', 95, 80.0, 156.9365299850122, 'accompaniment', 96]
156.9442059993744['note_off', 93, 100, 156.93752998501222, 'accompaniment', 95]
157.01300811767578['note_off', 93, 100, 157.01120590339661, 'accompaniment', 95]
157.29687094688416['note_on', 93, 82.4, 157.29214866986453, 'accompaniment', 97]
157.30741500854492['note_off', 95, 100, 157.29314866986454, 'accompaniment', 96]
157.64957094192505['note_on', 91, 83.6, 157.64957031213845, 'accompaniment', 98]
157.6505708694458['note_off', 93, 100, 157.65057031213846, 'accompaniment', 97]
157.70398592948914['note_off', 93, 100, 157.70398496757508, 'accompaniment', 97]
158.03588700294495['note_on', 98, 76.64, 158.0246129767026, 'accompaniment', 99]
158.04849672317505['note_off', 91, 100, 158.0256129767026, 'accompaniment', 98]
158.40711402893066['note_on', 95, 74.24000000000001, 158.40196772968102, 'accompaniment', 100]
158.41847586631775['note_off', 98, 100, 158.40296772968102, 'accompaniment', 99]
158.47185897827148['note_off', 98, 100, 158.47185801635743, 'accompaniment', 99]
158.7974147796631['note_on', 91, 81.92, 158.79741412347187, 'accompaniment', 101]
158.81000804901123['note_off', 95, 100, 158.79841412347187, 'accompaniment', 100]
159.1688780784607['note_on', 89, 93.92, 159.15841682598227, 'accompaniment', 102]
159.19288086891174['note_off', 91, 100, 159.15941682598228, 'accompaniment', 101]
159.52497673034668['note_on', 86, 98.48, 159.52121368664623, 'accompaniment', 103]
159.5359559059143['note_off', 89, 100, 159.52221368664624, 'accompaniment', 102]
159.8747398853302['note_on', 83, 95.84, 159.87473868437624, 'accompaniment', 104]
159.87573909759521['note_off', 86, 100, 159.87573868437624, 'accompaniment', 103]
159.94195890426636['note_off', 86, 100, 159.9407441533661, 'accompaniment', 103]
160.2678520679474['note_on', 79, 87.8, 160.258098754803, 'accompaniment', 105]
160.27958917617798['note_off', 83, 100, 160.259098754803, 'accompaniment', 104]
160.63590598106384['note_on', 84, 84.8, 160.63122738745864, 'accompaniment', 106]
160.64784789085388['note_off', 79, 100, 160.63222738745864, 'accompaniment', 105]
